nazwa testu, sr. czas sel. vm, stDev czas sel. vm, sr czas sel. HD, stDev czas sel. HD
0-thr-cth-mu,0.00106,0.00601,0.03424,0.04044
0-thr-cuv-mu,10.38304,10.91463,0.01555,0.03495
0-thr-lvf-mu,0.00066,0.00489,0.02216,0.02703
0-thr-maxu-mu,0.00045,0.00170,0.01633,0.03193
0-thr-mc-mu,0.01016,0.01059,0.02725,0.03172
0-thr-minu-mu,0.00148,0.00615,0.05109,0.03348
0-thr-mmt-mu,0.00078,0.00538,0.03350,0.03413
0-thr-rs-mu,0.00072,0.00614,0.02706,0.02537
1-AF-thr-cth-mu,0.00062,0.00150,0.02618,0.04326
1-AF-thr-cuv-mu,1.69447,1.56408,0.01467,0.02894
1-AF-thr-lvf-mu,0.00061,0.00431,0.01895,0.02840
1-AF-thr-maxu-mu,0.00045,0.00182,0.01301,0.03166
1-AF-thr-mc-mu,0.00988,0.00910,0.02214,0.02863
1-AF-thr-minu-mu,0.00157,0.00609,0.04371,0.02877
1-AF-thr-mmt-mu,0.00089,0.00555,0.02672,0.02790
1-AF-thr-rs-mu,0.00072,0.00484,0.02292,0.02609
